,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,LTIM,LTIMindtree Limited,financial result updates,", the financial results for the period ended december 31, 2023.",17-Jan-2024 16:38:16,2024-01-17 16:38:16,17-Jan-2024 16:38:19,00:00:03,https://nsearchives.nseindia.com/corporate/OutcomeofBoardmeeting170124_17012024163816.pdf,17-01-2024,6195.0,6324.0,6150.0,6275.60009765625,6275.60009765625,472635,0.0,0.0,25-01-2024,-1
1,LTIM,LTIMindtree Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,09-Jan-2024 10:30:12,2024-01-09 10:30:12,09-Jan-2024 10:30:27,00:00:15,https://nsearchives.nseindia.com/corporate/xbrl/LTIM_09012024103012_CIM_15987_1011365_09012024103011_WEB.xml,09-01-2024,5915.0,5957.89990234375,5875.0,5909.39990234375,5909.39990234375,351316,0.0,0.0,16-01-2024,1
2,LTIM,LTIMindtree Limited,updates," regarding 'disclosure under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015 '.",09-Jan-2024 10:00:25,2024-01-09 10:00:25,09-Jan-2024 10:01:58,00:01:33,https://nsearchives.nseindia.com/corporate/LTIM_09012024100026_IntimationofappointmentofCMO.pdf,09-01-2024,5915.0,5957.89990234375,5875.0,5909.39990234375,5909.39990234375,351316,0.0,0.0,16-01-2024,1
3,LTIM,LTIMindtree Limited,allotment of securities," regarding allotment of 190071 securities pursuant to esop/esps at its meeting held on january 05, 2024",05-Jan-2024 18:59:42,2024-01-05 18:59:42,05-Jan-2024 18:59:48,00:00:06,https://nsearchives.nseindia.com/corporate/LTIM_05012024185942_SEIntimationforallotmentofequityshares.pdf,05-01-2024,5945.0,6010.0,5902.0,5947.64990234375,5947.64990234375,429330,0.0,0.0,12-01-2024,0
4,LTIM,LTIMindtree Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,05-Jan-2024 10:34:08,2024-01-05 10:34:08,05-Jan-2024 10:34:16,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/LTIM_05012024103408_CIM_15809_1008149_05012024103407_WEB.xml,05-01-2024,5945.0,6010.0,5902.0,5947.64990234375,5947.64990234375,429330,0.0,0.0,12-01-2024,0
5,LTIM,LTIMindtree Limited,updates," regarding 'disclosure under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015 '.",04-Jan-2024 20:21:32,2024-01-04 20:21:32,04-Jan-2024 20:21:37,00:00:05,https://nsearchives.nseindia.com/corporate/LTIM_04012024202132_IntimationofresignationofSMP.pdf,04-01-2024,5963.0,6020.0,5851.7001953125,5866.39990234375,5866.39990234375,618173,0.0,0.0,11-01-2024,0
6,LTIM,LTIMindtree Limited,press release," regarding a press release dated january 04, 2024, titled ""ltimindtree integrates syncordis andnielsen+partner to form banking transformation practice"".",04-Jan-2024 15:00:57,2024-01-04 15:00:57,04-Jan-2024 15:01:04,00:00:07,https://nsearchives.nseindia.com/corporate/LTIM_04012024150057_Intimationtostockexchanges_signed.pdf,04-01-2024,5963.0,6020.0,5851.7001953125,5866.39990234375,5866.39990234375,618173,0.0,0.0,11-01-2024,0
7,LTIM,LTIMindtree Limited,updates," regarding 'disclosure under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015'.",03-Jan-2024 19:33:12,2024-01-03 19:33:12,03-Jan-2024 19:33:18,00:00:06,https://nsearchives.nseindia.com/corporate/LTIM_03012024193312_SEIntimationdtJan3GSTOrdersigned.pdf,03-01-2024,6110.0,6113.25,5955.0,5961.0498046875,5961.0498046875,421251,0.0,0.0,10-01-2024,0
8,LTIM,LTIMindtree Limited,press release," regarding a press release dated january 03, 2024, titled ""farmers edge and ltimindtree unveil feil   mumbai: a pioneering agricultural innovation hub redefining farming in india"".",03-Jan-2024 12:00:06,2024-01-03 12:00:06,03-Jan-2024 12:00:42,00:00:36,https://nsearchives.nseindia.com/corporate/LTIM_03012024120006_Intimationtostockexchangessigned.pdf,03-01-2024,6110.0,6113.25,5955.0,5961.0498046875,5961.0498046875,421251,0.0,0.0,10-01-2024,0
9,LTIM,LTIMindtree Limited,board meeting intimation, about board meeting to be held on 17-jan-2024 to inter-alia consider and approve the unaudited financial results of the company for the quarterly ended december 2023 .,02-Jan-2024 16:46:55,2024-01-02 16:46:55,02-Jan-2024 16:47:00,00:00:05,https://nsearchives.nseindia.com/corporate/xbrl/LTIM_02012024164655_PRIOR_INTIMATION_15688_1006639_02012024044655_WEB.xml,02-01-2024,6230.0,6284.0,6123.4501953125,6144.0,6144.0,475149,0.0,0.0,09-01-2024,0
10,LTIM,LTIMindtree Limited,allotment of securities," regarding allotment of 57535 securities pursuant to esop/esps at its meeting held on 0 ,",22-Dec-2023 16:45:42,2023-12-22 16:45:42,22-Dec-2023 16:45:48,00:00:06,https://nsearchives.nseindia.com/corporate/LTIM_22122023164543_SEIntimationforallotmentofequityshares.pdf,22-12-2023,6186.9501953125,6240.0,6108.0,6229.10009765625,6229.10009765625,540467,0.0,0.0,01-01-2024,0
11,LTIM,LTIMindtree Limited,press release," regarding a press release dated december 19, 2023, titled ""ltimindtree collaborates withmicrosoft to deliver ai powered employee engagement applications"".",19-Dec-2023 14:30:47,2023-12-19 14:30:47,19-Dec-2023 14:30:53,00:00:06,https://nsearchives.nseindia.com/corporate/LTIM_19122023143048_Intimationtostockexchanges.pdf,19-12-2023,6169.0,6169.0,6032.89990234375,6112.75,6112.75,431913,0.0,0.0,27-12-2023,0
