,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,TECHM,Tech Mahindra Limited,outcome of board meeting,outcome of the board meeting-merger and amendment to the esop scheme.,24-Jan-2024 15:57:54,2024-01-24 15:57:54,24-Jan-2024 15:58:00,00:00:06,https://nsearchives.nseindia.com/corporate/TECHM_24012024155754_OutcomemergerandesopF.pdf,24-01-2024,1372.949951171875,1410.5,1365.550048828125,1407.949951171875,1407.949951171875,2008135,0.0,0.0,01-02-2024,-1
1,TECHM,Tech Mahindra Limited,financial result updates,", the financial results for the period ended december 31, 2023.",24-Jan-2024 15:49:30,2024-01-24 15:49:30,24-Jan-2024 15:49:35,00:00:05,https://nsearchives.nseindia.com/corporate/TMLintimationofoutcomeofboardmeeting24012024F_24012024154930.pdf,24-01-2024,1372.949951171875,1410.5,1365.550048828125,1407.949951171875,1407.949951171875,2008135,0.0,0.0,01-02-2024,-1
2,TECHM,Tech Mahindra Limited,press release," regarding a press release dated january 10, 2024, titled ""intimation of schedule of earnings conference call and press release under regulation30 of the securities and exchange board of india (listing obligations and disclosurerequirements) regulations, 2015."".",10-Jan-2024 17:12:38,2024-01-10 17:12:38,10-Jan-2024 17:12:46,00:00:08,https://nsearchives.nseindia.com/corporate/TECHM_10012024171238_tmlearningcallschedule10012024.pdf,10-01-2024,1236.5,1246.449951171875,1228.300048828125,1240.9000244140625,1240.9000244140625,808638,0.0,0.0,17-01-2024,1
3,TECHM,Tech Mahindra Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,03-Jan-2024 21:06:53,2024-01-03 21:06:53,03-Jan-2024 21:06:59,00:00:06,https://nsearchives.nseindia.com/corporate/xbrl/TECHM_03012024210653_CIM_15771_1007477_03012024090653_WEB.xml,03-01-2024,1265.0,1274.0,1240.0,1244.199951171875,1244.199951171875,2231707,0.0,0.0,10-01-2024,0
4,TECHM,Tech Mahindra Limited,trading window," regarding the trading window closure pursuant to sebi (prohibition of insider trading) regulations, 2015",27-Dec-2023 19:20:38,2023-12-27 19:20:38,27-Dec-2023 19:20:45,00:00:07,https://nsearchives.nseindia.com/corporate/TECHM_27122023192038_TMLBMPriorIntimationTradingWindowClosureF.pdf,27-12-2023,1287.9000244140625,1291.5,1267.25,1280.1500244140625,1280.1500244140625,1584695,0.0,0.0,03-01-2024,0
5,TECHM,Tech Mahindra Limited,board meeting intimation, about board meeting to be held on 24-jan-2024 to consider and approve the quarterly audited financial results of the company for the period ended december 2023 and other business.,27-Dec-2023 19:13:57,2023-12-27 19:13:57,27-Dec-2023 19:14:05,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/TECHM_27122023191358_PRIOR_INTIMATION_15488_1002833_27122023071357_WEB.xml,27-12-2023,1287.9000244140625,1291.5,1267.25,1280.1500244140625,1280.1500244140625,1584695,0.0,0.0,03-01-2024,0
6,TECHM,Tech Mahindra Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,19-Dec-2023 20:06:17,2023-12-19 20:06:17,19-Dec-2023 20:06:25,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/TECHM_19122023200618_CIM_15276_999074_19122023080617_WEB.xml,19-12-2023,1300.0,1300.949951171875,1269.199951171875,1281.449951171875,1281.449951171875,1717860,0.0,0.0,27-12-2023,0
7,TECHM,Tech Mahindra Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,20-Nov-2023 18:24:21,2023-11-20 18:24:21,20-Nov-2023 18:24:28,00:00:07,https://nsearchives.nseindia.com/corporate/xbrl/TECHM_20112023182421_CIM_14685_990053_20112023062420_WEB.xml,20-11-2023,1204.9000244140625,1222.5,1202.75,1211.800048828125,1211.800048828125,1077366,0.0,0.0,28-11-2023,0
8,TECHM,Tech Mahindra Limited,cessation," regarding cessation of mr manish vyas as other of the company w.e.f. november 17, 2023.",17-Nov-2023 19:26:01,2023-11-17 19:26:01,17-Nov-2023 19:26:07,00:00:06,https://nsearchives.nseindia.com/corporate/TECHM_17112023192601_REG30disclosureMrManishVyas171123FINAL1.pdf,17-11-2023,1212.199951171875,1213.949951171875,1198.0,1202.75,1202.75,1176628,0.0,0.0,24-11-2023,0
9,TECHM,Tech Mahindra Limited,change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent, about change in directors/ key managerial personnel/ auditor/ compliance officer/ share transfer agent,25-Oct-2023 22:08:43,2023-10-25 22:08:43,25-Oct-2023 22:08:51,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/TECHM_25102023220843_CIM_12439_967462_25102023100843_WEB.xml,25-10-2023,1162.0,1165.9000244140625,1136.5,1142.1500244140625,1129.9681396484375,1555285,0.0,0.0,01-11-2023,0
