,SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
0,SUNPHARMA,Sun Pharmaceutical Industries Limited,updates," regarding 'intimation under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015   regulatory order'.",12-Feb-2024 19:46:38,2024-02-12 19:46:38,12-Feb-2024 19:46:43,00:00:05,https://nsearchives.nseindia.com/corporate/SUNPHARMA_12022024194638_SEIntimationforgst.pdf,12-02-2024,1539.8499755859375,1555.0999755859375,1521.0999755859375,1534.449951171875,1534.449951171875,4059288,0.0,0.0,19-02-2024,0
1,SUNPHARMA,Sun Pharmaceutical Industries Limited,press release," regarding a press release dated february 12, 2024, titled ""press release - inclusion of sun pharma in the s&p global sustainability yearbook 2024"".",12-Feb-2024 10:16:44,2024-02-12 10:16:44,12-Feb-2024 10:16:50,00:00:06,https://nsearchives.nseindia.com/corporate/SUNPHARMA_12022024101644_IntimationSE20240212_SunPharma_SandP_Sustainability_Yearbook_Signed.pdf,12-02-2024,1539.8499755859375,1555.0999755859375,1521.0999755859375,1534.449951171875,1534.449951171875,4059288,0.0,0.0,19-02-2024,0
2,SUNPHARMA,Sun Pharmaceutical Industries Limited,updates," regarding 'intimation under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015   incorporation of a subsidiary company'.",06-Feb-2024 19:40:52,2024-02-06 19:40:52,06-Feb-2024 19:40:59,00:00:07,https://nsearchives.nseindia.com/corporate/SUNPHARMA_06022024194052_SEIntimationforsetupanewcompany.pdf,06-02-2024,1450.0,1478.0,1446.550048828125,1475.0999755859375,1466.7388916015625,1893995,0.0,0.0,13-02-2024,0
3,SUNPHARMA,Sun Pharmaceutical Industries Limited,updates," regarding 'intimation under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015   incorporation of a subsidiary company'.",05-Feb-2024 21:40:20,2024-02-05 21:40:20,05-Feb-2024 21:40:25,00:00:05,https://nsearchives.nseindia.com/corporate/SUNPHARMA_05022024214020_SEIntimationTaroPharmaCorporation.pdf,05-02-2024,1426.800048828125,1466.0,1423.5999755859375,1463.800048828125,1455.5030517578125,3481964,0.0,0.0,12-02-2024,0
4,SUNPHARMA,Sun Pharmaceutical Industries Limited,press release," regarding a press release dated january 31, 2024, titled ""sun pharma reports q3fy24 results"".",31-Jan-2024 14:22:08,2024-01-31 14:22:08,31-Jan-2024 14:22:14,00:00:06,https://nsearchives.nseindia.com/corporate/SUNPHARMA_31012024142208_IntimationSE20240131_Q3FY24_Financial_Press_Release_Signed.pdf,31-01-2024,1371.699951171875,1438.9000244140625,1366.9000244140625,1418.449951171875,1410.409912109375,5796356,0.0,0.0,07-02-2024,1
5,SUNPHARMA,Sun Pharmaceutical Industries Limited,dividend," that board of directors at its meeting held on january 31, 2024, declared interim dividend of rs. 8.5 per equity share.",31-Jan-2024 14:20:49,2024-01-31 14:20:49,31-Jan-2024 14:20:55,00:00:06,https://nsearchives.nseindia.com/corporate/SUNPHARMA_31012024142049_BMOutcomeQ3.pdf,31-01-2024,1371.699951171875,1438.9000244140625,1366.9000244140625,1418.449951171875,1410.409912109375,5796356,0.0,0.0,07-02-2024,1
6,SUNPHARMA,Sun Pharmaceutical Industries Limited,financial result updates,", the financial results for the period ended december 31, 2023.",31-Jan-2024 14:13:24,2024-01-31 14:13:24,31-Jan-2024 14:13:31,00:00:07,https://nsearchives.nseindia.com/corporate/BMOutcomeQ3_31012024141324.pdf,31-01-2024,1371.699951171875,1438.9000244140625,1366.9000244140625,1418.449951171875,1410.409912109375,5796356,0.0,0.0,07-02-2024,1
7,SUNPHARMA,Sun Pharmaceutical Industries Limited,press release," regarding a press release dated january 17, 2024, titled ""bayer and sun pharma sign marketing and distribution agreement for second brand of finerenone in india "".",17-Jan-2024 13:21:02,2024-01-17 13:21:02,17-Jan-2024 13:21:09,00:00:07,https://nsearchives.nseindia.com/corporate/SUNPHARMA_17012024132102_SEIntimationforpressrelease.pdf,17-01-2024,1312.0,1320.449951171875,1294.3499755859375,1299.0,1291.6370849609375,2544642,0.0,0.0,25-01-2024,1
8,SUNPHARMA,Sun Pharmaceutical Industries Limited,board meeting intimation, about board meeting to be held on 31-jan-2024 to consider and approve the quarterly unaudited financial results of the company for the period ended december 2023 and dividend.,15-Jan-2024 15:34:23,2024-01-15 15:34:23,15-Jan-2024 15:34:30,00:00:07,https://nsearchives.nseindia.com/corporate/xbrl/SUNPHARMA_15012024153423_PRIOR_INTIMATION_16353_1021033_15012024033423_WEB.xml,15-01-2024,1329.199951171875,1340.0,1321.5999755859375,1329.3499755859375,1321.8150634765625,1475983,0.0,0.0,23-01-2024,0
9,SUNPHARMA,Sun Pharmaceutical Industries Limited,updates," regarding 'intimation under regulation 30 of sebi (listing obligations and disclosure requirements) regulations, 2015'.",11-Jan-2024 12:24:30,2024-01-11 12:24:30,11-Jan-2024 12:24:34,00:00:04,https://nsearchives.nseindia.com/corporate/SUNPHARMA_11012024122430_SEIntimationforgst.pdf,11-01-2024,1328.0,1331.9000244140625,1310.199951171875,1316.25,1308.789306640625,1320281,0.0,0.0,18-01-2024,0
