SYMBOL,COMPANY NAME,SUBJECT,DETAILS,BROADCAST DATE/TIME,RECEIPT,DISSEMINATION,DIFFERENCE,ATTACHMENT,Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Next_Date,Sentiment
ADANIENT,Adani Enterprises Limited,Incorporation-XBRL,Adani Enterprises Limited has informed the Exchange regarding Incorporation,15-Feb-2024 19:04:58,2024-02-15 19:04:58,15-Feb-2024 19:05:12,00:00:14,https://nsearchives.nseindia.com/corporate/xbrl/ADANIENT_15022024190458_REG30_Restructuring_1056890_15022024070458_WEB.xml,15-02-2024,3219.85009765625,3252.75,3184.050048828125,3193.800048828125,3193.800048828125,2035204,0.0,0.0,22-02-2024,0
ADANIENT,Adani Enterprises Limited,Updates,Adani Enterprises Limited has informed the Exchange regarding 'Intimation for incorporation of OSPREE INTERNATIONAL FZCO'.,14-Feb-2024 20:48:03,2024-02-14 20:48:03,14-Feb-2024 20:48:09,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_14022024204803_AELOSPREEINTIMATION.pdf,14-02-2024,3184.0,3255.25,3169.85009765625,3207.199951171875,3207.199951171875,1741264,0.0,0.0,21-02-2024,0
ADANIENT,Adani Enterprises Limited,Updates,Adani Enterprises Limited has informed the Exchange regarding 'Intimation for interaction with Investors'.,13-Feb-2024 17:07:08,2024-02-13 17:07:08,13-Feb-2024 17:07:15,00:00:07,https://nsearchives.nseindia.com/corporate/ADANIENT_13022024170708_AELInvestorMeetHNI16022024.pdf,13-02-2024,3180.0,3194.0,3092.050048828125,3178.449951171875,3178.449951171875,1225207,0.0,0.0,20-02-2024,0
ADANIENT,Adani Enterprises Limited,Updates,Adani Enterprises Limited has informed the Exchange regarding 'Transcript of Earnings call pertaining to the Unaudited Financial Results of the Company for the quarter and nine months ended 31st December 2024. '.,08-Feb-2024 19:07:56,2024-02-08 19:07:56,08-Feb-2024 19:08:03,00:00:07,https://nsearchives.nseindia.com/corporate/ADANIENT_08022024190756_AELIntimationforTranscript01022024.pdf,08-02-2024,3245.60009765625,3245.60009765625,3146.10009765625,3168.60009765625,3168.60009765625,1679004,0.0,0.0,15-02-2024,0
ADANIENT,Adani Enterprises Limited,Updates,"Adani Enterprises Limited has informed the Exchange regarding 'Disclosure pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",08-Feb-2024 19:06:10,2024-02-08 19:06:10,08-Feb-2024 19:06:24,00:00:14,https://nsearchives.nseindia.com/corporate/ADANIENT_08022024190610_AELCPRATING08022024.pdf,08-02-2024,3245.60009765625,3245.60009765625,3146.10009765625,3168.60009765625,3168.60009765625,1679004,0.0,0.0,15-02-2024,0
ADANIENT,Adani Enterprises Limited,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Enterprises Limited has informed the Exchange about Schedule of meet,08-Feb-2024 18:59:06,2024-02-08 18:59:06,08-Feb-2024 18:59:12,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_08022024185906_AELInvestormeetAxisCapital14022024.pdf,08-02-2024,3245.60009765625,3245.60009765625,3146.10009765625,3168.60009765625,3168.60009765625,1679004,0.0,0.0,15-02-2024,0
ADANIENT,Adani Enterprises Limited,Loss/Duplicate-Share Certificate-XBRL,Adani Enterprises Limited has informed the Exchange about Issue of duplicate share certificates/Letter of Confirmation,05-Feb-2024 19:29:23,2024-02-05 19:29:23,05-Feb-2024 19:29:31,00:00:08,https://nsearchives.nseindia.com/corporate/xbrl/ADANIENT_05022024192923_LOSS_OF_SHARE_1045168_05022024072923_WEB.xml,05-02-2024,3170.0,3229.39990234375,3151.449951171875,3173.449951171875,3173.449951171875,2191195,0.0,0.0,12-02-2024,0
ADANIENT,Adani Enterprises Limited,Updates,"Adani Enterprises Limited has informed the Exchange regarding 'Intimation under Regulation 39(3) of the SEBI (Listing Obligations and   Disclosure Requirements) Regulations, 2015.'.",05-Feb-2024 19:25:27,2024-02-05 19:25:27,05-Feb-2024 19:25:38,00:00:11,https://nsearchives.nseindia.com/corporate/ADANIENT_05022024192527_IntimationtoSEReg39_3_05022024.pdf,05-02-2024,3170.0,3229.39990234375,3151.449951171875,3173.449951171875,3173.449951171875,2191195,0.0,0.0,12-02-2024,0
ADANIENT,Adani Enterprises Limited,Updates,"Adani Enterprises Limited has informed the Exchange regarding 'Disclosure pursuant to Regulation 30 of the Securities and Exchange Board ofIndia (Listing Obligations and Disclosure Requirements) Regulations, 2015'.",02-Feb-2024 12:56:25,2024-02-02 12:56:25,02-Feb-2024 12:56:29,00:00:04,https://nsearchives.nseindia.com/corporate/ADANIENT_02022024125626_AELGST020224.pdf,02-02-2024,3184.949951171875,3208.5,3140.0,3157.449951171875,3157.449951171875,2708695,0.0,0.0,09-02-2024,0
ADANIENT,Adani Enterprises Limited,Updates,Adani Enterprises Limited has informed the Exchange regarding 'Submission of Audio Recording of Analysts/Investors  Call and Presentationpertaining to the Unaudited Financial Results of the Company for Q3 FY 24'.,01-Feb-2024 21:15:29,2024-02-01 21:15:29,01-Feb-2024 21:15:35,00:00:06,https://nsearchives.nseindia.com/corporate/ADANIENT_01022024211529_AELRECORDINGOFICALL.pdf,01-02-2024,3156.89990234375,3236.949951171875,3083.050048828125,3153.5,3153.5,4686595,0.0,0.0,08-02-2024,0
